class,nm_mun,descricao,area_km2,id
3.0,Maquiné,Formação Florestal,368.5785,143
3.0,Morrinhos do Sul,Formação Florestal,58.3173,144
3.0,Osório,Formação Florestal,67.4871,145
3.0,Terra de Areia,Formação Florestal,28.676,146
3.0,Torres,Formação Florestal,4.0008,147
3.0,Três Cachoeiras,Formação Florestal,66.5825,148
3.0,Três Forquilhas,Formação Florestal,161.7673,149
12.0,Arroio do Sal,Formação Campestre,3.4487,150
12.0,Balneário Pinhal,Formação Campestre,16.6989,151
12.0,Capão da Canoa,Formação Campestre,7.9023,152
12.0,Capivari do Sul,Formação Campestre,68.9079,153
12.0,Caraá,Formação Campestre,51.6858,154
12.0,Cidreira,Formação Campestre,39.4827,155
12.0,Imbé,Formação Campestre,1.1928,156
12.0,Itati,Formação Campestre,2.9984,157
12.0,Mampituba,Formação Campestre,0.0004,158
12.0,Maquiné,Formação Campestre,30.3767,159
12.0,Morrinhos do Sul,Formação Campestre,0.2478,160
12.0,Osório,Formação Campestre,118.1276,161
12.0,Palmares do Sul,Formação Campestre,88.4824,162
12.0,Terra de Areia,Formação Campestre,23.5029,163
12.0,Tramandaí,Formação Campestre,28.3129,164
12.0,Três Cachoeiras,Formação Campestre,1.5617,165
12.0,Três Forquilhas,Formação Campestre,5.1161,166
12.0,Xangri-lá,Formação Campestre,9.7855,167
50.0,Balneário Pinhal,Restinga Herbácea,9.2012,168
50.0,Capivari do Sul,Restinga Herbácea,1.9694,169
50.0,Cidreira,Restinga Herbácea,30.7333,170
50.0,Imbé,Restinga Herbácea,1.3504,171
50.0,Maquiné,Restinga Herbácea,9.8093,172
50.0,Osório,Restinga Herbácea,63.5755,173
50.0,Palmares do Sul,Restinga Herbácea,77.5045,174
50.0,Tramandaí,Restinga Herbácea,12.3075,175
50.0,Xangri-lá,Restinga Herbácea,0.3947,176
15.0,Arroio do Sal,Pastagem,28.094,177
15.0,Capão da Canoa,Pastagem,20.7088,178
15.0,Caraá,Pastagem,9.383,179
15.0,Dom Pedro de Alcântara,Pastagem,16.5053,180
15.0,Itati,Pastagem,11.9968,181
15.0,Mampituba,Pastagem,23.8983,182
15.0,Maquiné,Pastagem,6.6757,183
15.0,Morrinhos do Sul,Pastagem,38.7766,184
15.0,Osório,Pastagem,3.8556,185
15.0,Terra de Areia,Pastagem,22.0794,186
15.0,Torres,Pastagem,45.3511,187
