class,nm_mun,descricao,area_km2,id
39.0,Balneário Pinhal,Soja,0.7042,1
39.0,Capão da Canoa,Soja,0.0569,2
39.0,Capivari do Sul,Soja,23.031,3
39.0,Caraá,Soja,0.8165,4
39.0,Cidreira,Soja,4.1299,5
39.0,Dom Pedro de Alcântara,Soja,0.0868,6
39.0,Itati,Soja,0.2273,7
39.0,Mampituba,Soja,0.5785,8
39.0,Maquiné,Soja,0.4677,9
39.0,Morrinhos do Sul,Soja,0.2741,10
39.0,Osório,Soja,9.6905,11
39.0,Palmares do Sul,Soja,16.8973,12
39.0,Terra de Areia,Soja,2.0018,13
39.0,Torres,Soja,0.6732,14
39.0,Tramandaí,Soja,0.9895,15
39.0,Três Cachoeiras,Soja,0.184,16
39.0,Três Forquilhas,Soja,0.2935,17
39.0,Xangri-lá,Soja,0.0817,18
9.0,Arroio do Sal,Silvicultura,3.5427,19
9.0,Balneário Pinhal,Silvicultura,29.3081,20
9.0,Capão da Canoa,Silvicultura,2.2971,21
9.0,Capivari do Sul,Silvicultura,12.5219,22
9.0,Caraá,Silvicultura,42.8743,23
9.0,Cidreira,Silvicultura,29.7125,24
9.0,Dom Pedro de Alcântara,Silvicultura,0.2218,25
9.0,Itati,Silvicultura,3.8573,26
9.0,Mampituba,Silvicultura,1.003,27
9.0,Maquiné,Silvicultura,18.519,28
9.0,Morrinhos do Sul,Silvicultura,0.104,29
9.0,Osório,Silvicultura,43.221,30
9.0,Palmares do Sul,Silvicultura,104.1149,31
9.0,Terra de Areia,Silvicultura,2.9432,32
9.0,Torres,Silvicultura,0.433,33
9.0,Tramandaí,Silvicultura,17.8976,34
9.0,Três Cachoeiras,Silvicultura,3.7584,35
9.0,Três Forquilhas,Silvicultura,7.0545,36
9.0,Xangri-lá,Silvicultura,0.1611,37
40.0,Balneário Pinhal,Arroz,4.2161,38
40.0,Capivari do Sul,Arroz,168.6502,39
40.0,Caraá,Arroz,1.8021,40
40.0,Cidreira,Arroz,16.0815,41
40.0,Dom Pedro de Alcântara,Arroz,1.0937,42
40.0,Imbé,Arroz,0.1197,43
40.0,Mampituba,Arroz,9.8673,44
40.0,Maquiné,Arroz,1.495,45
40.0,Morrinhos do Sul,Arroz,15.7531,46
40.0,Osório,Arroz,22.8539,47
40.0,Palmares do Sul,Arroz,239.9588,48
40.0,Terra de Areia,Arroz,1.7076,49
40.0,Torres,Arroz,26.4611,50
40.0,Tramandaí,Arroz,4.2935,51
40.0,Três Cachoeiras,Arroz,3.6505,52
40.0,Xangri-lá,Arroz,2.4999,53
23.0,Arroio do Sal,"Praia, Duna e Areal",3.4189,54
23.0,Balneário Pinhal,"Praia, Duna e Areal",4.7124,55
23.0,Capão da Canoa,"Praia, Duna e Areal",2.4096,56
23.0,Cidreira,"Praia, Duna e Areal",27.3224,57
23.0,Imbé,"Praia, Duna e Areal",2.1982,58
23.0,Osório,"Praia, Duna e Areal",1.7639,59
23.0,Palmares do Sul,"Praia, Duna e Areal",47.6711,60
23.0,Terra de Areia,"Praia, Duna e Areal",0.2836,61
23.0,Torres,"Praia, Duna e Areal",3.8404,62
23.0,Tramandaí,"Praia, Duna e Areal",10.4241,63
23.0,Xangri-lá,"Praia, Duna e Areal",1.0417,64
24.0,Arroio do Sal,Área Urbanizada,16.6511,65
24.0,Balneário Pinhal,Área Urbanizada,10.2682,66
24.0,Capão da Canoa,Área Urbanizada,22.6882,67
24.0,Capivari do Sul,Área Urbanizada,1.4483,68
24.0,Caraá,Área Urbanizada,0.137,69
24.0,Cidreira,Área Urbanizada,9.3399,70
24.0,Dom Pedro de Alcântara,Área Urbanizada,0.3858,71
24.0,Imbé,Área Urbanizada,17.9127,72
24.0,Itati,Área Urbanizada,0.0476,73
24.0,Mampituba,Área Urbanizada,0.0556,74
24.0,Maquiné,Área Urbanizada,0.6733,75
24.0,Morrinhos do Sul,Área Urbanizada,0.1681,76
24.0,Osório,Área Urbanizada,16.1023,77
24.0,Palmares do Sul,Área Urbanizada,9.5223,78
24.0,Terra de Areia,Área Urbanizada,4.1718,79
24.0,Torres,Área Urbanizada,17.7544,80
24.0,Tramandaí,Área Urbanizada,21.9003,81
24.0,Três Cachoeiras,Área Urbanizada,2.5515,82
24.0,Três Forquilhas,Área Urbanizada,0.1842,83
24.0,Xangri-lá,Área Urbanizada,18.1809,84
49.0,Arroio do Sal,Restinga Arbórea,3.5295,85
49.0,Balneário Pinhal,Restinga Arbórea,1.7783,86
49.0,Capão da Canoa,Restinga Arbórea,3.1395,87
49.0,Capivari do Sul,Restinga Arbórea,12.4577,88
49.0,Cidreira,Restinga Arbórea,9.0501,89
49.0,Dom Pedro de Alcântara,Restinga Arbórea,3.859,90
49.0,Imbé,Restinga Arbórea,0.1415,91
49.0,Itati,Restinga Arbórea,0.227,92
49.0,Mampituba,Restinga Arbórea,0.0558,93
49.0,Maquiné,Restinga Arbórea,3.5026,94
49.0,Morrinhos do Sul,Restinga Arbórea,6.8973,95
49.0,Osório,Restinga Arbórea,25.0668,96
49.0,Palmares do Sul,Restinga Arbórea,30.0199,97
49.0,Terra de Areia,Restinga Arbórea,7.9284,98
49.0,Torres,Restinga Arbórea,7.8184,99
49.0,Tramandaí,Restinga Arbórea,9.2826,100
49.0,Três Cachoeiras,Restinga Arbórea,1.8482,101
49.0,Três Forquilhas,Restinga Arbórea,1.1957,102
49.0,Xangri-lá,Restinga Arbórea,1.7586,103
11.0,Arroio do Sal,Campo Alagado e Área Pantanosa,1.3274,104
11.0,Balneário Pinhal,Campo Alagado e Área Pantanosa,4.2139,105
11.0,Capão da Canoa,Campo Alagado e Área Pantanosa,1.7067,106
11.0,Capivari do Sul,Campo Alagado e Área Pantanosa,16.9445,107
11.0,Cidreira,Campo Alagado e Área Pantanosa,12.9038,108
11.0,Dom Pedro de Alcântara,Campo Alagado e Área Pantanosa,2.1135,109
11.0,Imbé,Campo Alagado e Área Pantanosa,9.4065,110
11.0,Maquiné,Campo Alagado e Área Pantanosa,18.394,111
