class,nm_mun,descricao,id,area_km2
39.0,Arroio do Sal,Soja,1,0.3068
39.0,Balneário Pinhal,Soja,2,0.8406
39.0,Capão da Canoa,Soja,3,0.4313
39.0,Capivari do Sul,Soja,4,35.3506
39.0,Caraá,Soja,5,0.5447
39.0,Cidreira,Soja,6,3.3069
39.0,Dom Pedro de Alcântara,Soja,7,0.3754
39.0,Imbé,Soja,8,0.0054
39.0,Itati,Soja,9,0.1195
39.0,Mampituba,Soja,10,1.7914
39.0,Maquiné,Soja,11,1.5559
39.0,Morrinhos do Sul,Soja,12,0.64
39.0,Osório,Soja,13,13.8291
39.0,Palmares do Sul,Soja,14,78.8312
39.0,Terra de Areia,Soja,15,1.6561
39.0,Torres,Soja,16,3.5507
39.0,Tramandaí,Soja,17,1.1552
39.0,Três Cachoeiras,Soja,18,1.0316
39.0,Três Forquilhas,Soja,19,0.0617
39.0,Xangri-lá,Soja,20,0.063
9.0,Arroio do Sal,Silvicultura,21,0.2872
9.0,Balneário Pinhal,Silvicultura,22,21.9442
9.0,Capão da Canoa,Silvicultura,23,0.4036
9.0,Capivari do Sul,Silvicultura,24,11.1053
9.0,Caraá,Silvicultura,25,22.1033
9.0,Cidreira,Silvicultura,26,11.205
9.0,Itati,Silvicultura,27,2.237
9.0,Maquiné,Silvicultura,28,19.0268
9.0,Osório,Silvicultura,29,16.1436
9.0,Palmares do Sul,Silvicultura,30,81.4797
9.0,Terra de Areia,Silvicultura,31,2.702
9.0,Torres,Silvicultura,32,0.0313
9.0,Tramandaí,Silvicultura,33,8.3258
9.0,Três Cachoeiras,Silvicultura,34,1.4425
9.0,Três Forquilhas,Silvicultura,35,4.6772
9.0,Xangri-lá,Silvicultura,36,0.0249
40.0,Balneário Pinhal,Arroz,37,3.4654
40.0,Capivari do Sul,Arroz,38,76.1948
40.0,Caraá,Arroz,39,0.6041
40.0,Cidreira,Arroz,40,8.2016
40.0,Dom Pedro de Alcântara,Arroz,41,3.3932
40.0,Imbé,Arroz,42,0.1609
40.0,Mampituba,Arroz,43,4.1699
40.0,Maquiné,Arroz,44,0.021
40.0,Morrinhos do Sul,Arroz,45,12.1946
40.0,Osório,Arroz,46,18.7766
40.0,Palmares do Sul,Arroz,47,107.8096
40.0,Terra de Areia,Arroz,48,0.0522
40.0,Torres,Arroz,49,24.2324
40.0,Tramandaí,Arroz,50,2.3778
40.0,Três Cachoeiras,Arroz,51,0.2318
40.0,Xangri-lá,Arroz,52,0.193
23.0,Arroio do Sal,"Praia, Duna e Areal",53,5.3232
23.0,Balneário Pinhal,"Praia, Duna e Areal",54,9.3578
23.0,Capão da Canoa,"Praia, Duna e Areal",55,3.4728
23.0,Cidreira,"Praia, Duna e Areal",56,29.9044
23.0,Imbé,"Praia, Duna e Areal",57,2.8888
23.0,Osório,"Praia, Duna e Areal",58,2.4001
23.0,Palmares do Sul,"Praia, Duna e Areal",59,70.4993
23.0,Terra de Areia,"Praia, Duna e Areal",60,0.2654
23.0,Torres,"Praia, Duna e Areal",61,4.5211
23.0,Tramandaí,"Praia, Duna e Areal",62,12.262
23.0,Xangri-lá,"Praia, Duna e Areal",63,0.994
24.0,Arroio do Sal,Área Urbanizada,64,13.4601
24.0,Balneário Pinhal,Área Urbanizada,65,8.0541
24.0,Capão da Canoa,Área Urbanizada,66,17.5706
24.0,Capivari do Sul,Área Urbanizada,67,0.4325
24.0,Cidreira,Área Urbanizada,68,7.4862
24.0,Dom Pedro de Alcântara,Área Urbanizada,69,0.091
24.0,Imbé,Área Urbanizada,70,16.7045
24.0,Itati,Área Urbanizada,71,0.0047
24.0,Maquiné,Área Urbanizada,72,0.3007
24.0,Morrinhos do Sul,Área Urbanizada,73,0.032
