class,nm_mun,descricao,area_km2,id
33,Arroio do Sal,"Rio, Lago e Oceano",21.3087,1
33,Balneário Pinhal,"Rio, Lago e Oceano",17.5465,2
33,Capão da Canoa,"Rio, Lago e Oceano",2.8927,3
33,Capivari do Sul,"Rio, Lago e Oceano",19.293,4
33,Caraá,"Rio, Lago e Oceano",0.0374,5
33,Cidreira,"Rio, Lago e Oceano",43.6321,6
33,Dom Pedro de Alcântara,"Rio, Lago e Oceano",13.8344,7
33,Imbé,"Rio, Lago e Oceano",5.0682,8
33,Itati,"Rio, Lago e Oceano",0.0834,9
33,Mampituba,"Rio, Lago e Oceano",0.1727,10
33,Maquiné,"Rio, Lago e Oceano",121.8762,11
33,Morrinhos do Sul,"Rio, Lago e Oceano",1.1802,12
33,Osório,"Rio, Lago e Oceano",171.4378,13
33,Palmares do Sul,"Rio, Lago e Oceano",83.7551,14
33,Terra de Areia,"Rio, Lago e Oceano",9.6156,15
33,Torres,"Rio, Lago e Oceano",6.8286,16
33,Tramandaí,"Rio, Lago e Oceano",17.4387,17
33,Três Cachoeiras,"Rio, Lago e Oceano",89.3283,18
33,Três Forquilhas,"Rio, Lago e Oceano",0.8719,19
33,Xangri-lá,"Rio, Lago e Oceano",1.8461,20
50,Balneário Pinhal,Restinga Herbácea,11.125,21
50,Capivari do Sul,Restinga Herbácea,1.6762,22
50,Cidreira,Restinga Herbácea,26.922,23
50,Imbé,Restinga Herbácea,2.0287,24
50,Maquiné,Restinga Herbácea,10.2619,25
50,Osório,Restinga Herbácea,65.1654,26
50,Palmares do Sul,Restinga Herbácea,80.727,27
50,Tramandaí,Restinga Herbácea,11.2935,28
50,Xangri-lá,Restinga Herbácea,0.3314,29
3,Arroio do Sal,Formação Florestal,0.1507,30
3,Capão da Canoa,Formação Florestal,0.0132,31
3,Capivari do Sul,Formação Florestal,1.7486,32
3,Caraá,Formação Florestal,168.4234,33
3,Dom Pedro de Alcântara,Formação Florestal,13.6963,34
3,Itati,Formação Florestal,168.18,35
3,Mampituba,Formação Florestal,88.7177,36
3,Maquiné,Formação Florestal,374.0817,37
3,Morrinhos do Sul,Formação Florestal,64.5313,38
3,Osório,Formação Florestal,63.3942,39
3,Terra de Areia,Formação Florestal,30.0296,40
3,Torres,Formação Florestal,5.0045,41
3,Três Cachoeiras,Formação Florestal,67.4231,42
