class,nm_mun,descricao,id,area_km2
39.0,Arroio do Sal,Soja,1,0.0343
39.0,Balneário Pinhal,Soja,2,0.0566
39.0,Capão da Canoa,Soja,3,0.0055
39.0,Capivari do Sul,Soja,4,9.9197
39.0,Caraá,Soja,5,0.3355
39.0,Cidreira,Soja,6,0.7479
39.0,Dom Pedro de Alcântara,Soja,7,0.0876
39.0,Itati,Soja,8,0.3419
39.0,Mampituba,Soja,9,0.3397
39.0,Maquiné,Soja,10,0.4763
39.0,Morrinhos do Sul,Soja,11,0.0931
39.0,Osório,Soja,12,0.8777
39.0,Palmares do Sul,Soja,13,5.8353
39.0,Terra de Areia,Soja,14,1.6034
39.0,Torres,Soja,15,1.0188
39.0,Tramandaí,Soja,16,0.0499
39.0,Três Cachoeiras,Soja,17,0.1882
39.0,Três Forquilhas,Soja,18,0.3757
9.0,Arroio do Sal,Silvicultura,19,2.1129
9.0,Balneário Pinhal,Silvicultura,20,28.4999
9.0,Capão da Canoa,Silvicultura,21,1.8634
9.0,Capivari do Sul,Silvicultura,22,12.2728
9.0,Caraá,Silvicultura,23,49.1037
9.0,Cidreira,Silvicultura,24,28.2942
9.0,Dom Pedro de Alcântara,Silvicultura,25,0.124
9.0,Itati,Silvicultura,26,3.0469
9.0,Mampituba,Silvicultura,27,0.3936
9.0,Maquiné,Silvicultura,28,24.6563
9.0,Morrinhos do Sul,Silvicultura,29,0.0242
9.0,Osório,Silvicultura,30,38.9571
9.0,Palmares do Sul,Silvicultura,31,98.0597
9.0,Terra de Areia,Silvicultura,32,2.8211
9.0,Torres,Silvicultura,33,0.2095
9.0,Tramandaí,Silvicultura,34,15.694
9.0,Três Cachoeiras,Silvicultura,35,3.0152
9.0,Três Forquilhas,Silvicultura,36,7.9121
9.0,Xangri-lá,Silvicultura,37,0.1284
40.0,Balneário Pinhal,Arroz,38,1.499
40.0,Capivari do Sul,Arroz,39,132.6882
40.0,Caraá,Arroz,40,1.3156
40.0,Cidreira,Arroz,41,10.7425
