class,nm_mun,descricao,id,area_km2
39.0,Balneário Pinhal,Soja,1,0.1428
39.0,Capão da Canoa,Soja,2,0.2042
39.0,Capivari do Sul,Soja,3,45.7656
39.0,Caraá,Soja,4,0.8677
39.0,Cidreira,Soja,5,5.4466
39.0,Dom Pedro de Alcântara,Soja,6,0.0469
39.0,Itati,Soja,7,0.2057
39.0,Mampituba,Soja,8,0.1747
39.0,Maquiné,Soja,9,1.1104
39.0,Morrinhos do Sul,Soja,10,0.1012
39.0,Osório,Soja,11,14.9049
39.0,Palmares do Sul,Soja,12,56.7651
39.0,Terra de Areia,Soja,13,3.5315
39.0,Torres,Soja,14,0.6935
39.0,Tramandaí,Soja,15,0.1717
39.0,Três Cachoeiras,Soja,16,0.0469
39.0,Três Forquilhas,Soja,17,0.1897
9.0,Arroio do Sal,Silvicultura,18,4.1788
9.0,Balneário Pinhal,Silvicultura,19,29.6229
9.0,Capão da Canoa,Silvicultura,20,2.4793
9.0,Capivari do Sul,Silvicultura,21,12.5254
9.0,Caraá,Silvicultura,22,47.1015
9.0,Cidreira,Silvicultura,23,28.0291
9.0,Dom Pedro de Alcântara,Silvicultura,24,0.248
9.0,Itati,Silvicultura,25,4.7033
9.0,Mampituba,Silvicultura,26,1.1809
9.0,Maquiné,Silvicultura,27,20.9603
9.0,Morrinhos do Sul,Silvicultura,28,0.1906
9.0,Osório,Silvicultura,29,47.2981
9.0,Palmares do Sul,Silvicultura,30,105.1869
9.0,Terra de Areia,Silvicultura,31,3.3358
9.0,Torres,Silvicultura,32,0.6891
9.0,Tramandaí,Silvicultura,33,18.2447
9.0,Três Cachoeiras,Silvicultura,34,4.5778
9.0,Três Forquilhas,Silvicultura,35,8.2762
9.0,Xangri-lá,Silvicultura,36,0.1806
40.0,Balneário Pinhal,Arroz,37,4.634
40.0,Capivari do Sul,Arroz,38,148.408
40.0,Caraá,Arroz,39,1.9646
40.0,Cidreira,Arroz,40,10.6246
40.0,Dom Pedro de Alcântara,Arroz,41,1.6965
40.0,Mampituba,Arroz,42,9.8983
40.0,Maquiné,Arroz,43,2.4186
40.0,Morrinhos do Sul,Arroz,44,14.8945
40.0,Osório,Arroz,45,29.7045
40.0,Palmares do Sul,Arroz,46,172.1769
40.0,Terra de Areia,Arroz,47,1.5579
40.0,Torres,Arroz,48,27.1941
40.0,Tramandaí,Arroz,49,6.3493
40.0,Três Cachoeiras,Arroz,50,3.5267
40.0,Xangri-lá,Arroz,51,2.5748
23.0,Arroio do Sal,"Praia, Duna e Areal",52,3.4806
23.0,Balneário Pinhal,"Praia, Duna e Areal",53,4.9074
23.0,Capão da Canoa,"Praia, Duna e Areal",54,2.4103
23.0,Cidreira,"Praia, Duna e Areal",55,28.6649
23.0,Imbé,"Praia, Duna e Areal",56,2.3235
23.0,Osório,"Praia, Duna e Areal",57,1.7148
23.0,Palmares do Sul,"Praia, Duna e Areal",58,48.2827
23.0,Terra de Areia,"Praia, Duna e Areal",59,0.2759
23.0,Torres,"Praia, Duna e Areal",60,3.9246
23.0,Tramandaí,"Praia, Duna e Areal",61,10.8053
23.0,Xangri-lá,"Praia, Duna e Areal",62,1.0176
24.0,Arroio do Sal,Área Urbanizada,63,17.2357
24.0,Balneário Pinhal,Área Urbanizada,64,10.2157
24.0,Capão da Canoa,Área Urbanizada,65,23.4634
24.0,Capivari do Sul,Área Urbanizada,66,1.5213
24.0,Caraá,Área Urbanizada,67,0.1806
24.0,Cidreira,Área Urbanizada,68,9.0016
24.0,Dom Pedro de Alcântara,Área Urbanizada,69,0.3944
24.0,Imbé,Área Urbanizada,70,17.8751
24.0,Itati,Área Urbanizada,71,0.071
24.0,Mampituba,Área Urbanizada,72,0.0838
24.0,Maquiné,Área Urbanizada,73,0.7325
24.0,Morrinhos do Sul,Área Urbanizada,74,0.2103
24.0,Osório,Área Urbanizada,75,16.5356
24.0,Palmares do Sul,Área Urbanizada,76,9.3614
24.0,Terra de Areia,Área Urbanizada,77,4.3925
24.0,Torres,Área Urbanizada,78,18.4261
24.0,Tramandaí,Área Urbanizada,79,21.8756
24.0,Três Cachoeiras,Área Urbanizada,80,2.8287
24.0,Três Forquilhas,Área Urbanizada,81,0.192
24.0,Xangri-lá,Área Urbanizada,82,18.9374
49.0,Arroio do Sal,Restinga Arbórea,83,4.9551
49.0,Balneário Pinhal,Restinga Arbórea,84,1.6079
49.0,Capão da Canoa,Restinga Arbórea,85,4.5409
49.0,Capivari do Sul,Restinga Arbórea,86,12.3439
49.0,Cidreira,Restinga Arbórea,87,8.7882
