class,nm_mun,descricao,id,area_km2
41.0,Torres,Outras Lavouras Temporárias,228,1.9868
41.0,Tramandaí,Outras Lavouras Temporárias,229,5.8562
41.0,Três Cachoeiras,Outras Lavouras Temporárias,230,0.4596
41.0,Três Forquilhas,Outras Lavouras Temporárias,231,0.7875
41.0,Xangri-lá,Outras Lavouras Temporárias,232,0.5776
25.0,Arroio do Sal,Outras Áreas não Vegetadas,233,3.119
25.0,Balneário Pinhal,Outras Áreas não Vegetadas,234,4.352
25.0,Capão da Canoa,Outras Áreas não Vegetadas,235,4.0516
25.0,Capivari do Sul,Outras Áreas não Vegetadas,236,0.5307
25.0,Caraá,Outras Áreas não Vegetadas,237,0.0257
25.0,Cidreira,Outras Áreas não Vegetadas,238,12.2778
25.0,Imbé,Outras Áreas não Vegetadas,239,0.9947
25.0,Itati,Outras Áreas não Vegetadas,240,0.0414
25.0,Maquiné,Outras Áreas não Vegetadas,241,0.9539
25.0,Osório,Outras Áreas não Vegetadas,242,11.849
25.0,Palmares do Sul,Outras Áreas não Vegetadas,243,26.8474
25.0,Terra de Areia,Outras Áreas não Vegetadas,244,0.3667
25.0,Torres,Outras Áreas não Vegetadas,245,1.4785
25.0,Tramandaí,Outras Áreas não Vegetadas,246,5.4454
25.0,Três Cachoeiras,Outras Áreas não Vegetadas,247,0.0062
25.0,Três Forquilhas,Outras Áreas não Vegetadas,248,0.0094
25.0,Xangri-lá,Outras Áreas não Vegetadas,249,0.3137
39.0,,Soja,250,0.0018
9.0,,Silvicultura,251,0.0402
40.0,,Arroz,252,0.0228
23.0,,"Praia, Duna e Areal",253,0.0138
49.0,,Restinga Arbórea,254,0.0383
11.0,,Campo Alagado e Área Pantanosa,255,0.0932
33.0,,"Rio, Lago e Oceano",256,0.856
3.0,,Formação Florestal,257,0.9094
12.0,,Formação Campestre,258,0.1089
50.0,,Restinga Herbácea,259,0.0091
15.0,,Pastagem,260,0.023
21.0,,Mosaico de Usos,261,0.1487
